time,rain
1529344000,0.2
1529346000,0.2
1529347000,0.2
1529350000,0.2
1529364000,0.2
1529367000,0.2
1529372000,0.2
1529379000,0.2
1529387000,0.2
1529388000,0.2
1529389000,0.2
1529394000,0.2
1529441000,0.2
1529442000,0.2
1529446000,0.2
1529446000,0.4
1529446000,0.2
1529446000,0.2
1529447000,0.2
1529449000,0.2
1529450000,0.2
1529450000,0.4
1529452000,0.2
1529518000,0.2
1529662000,0.2
1529953000,0.2
1529958000,0.2
1530006000,0.2
1530009000,0.2
1530470000,0.2
1530471000,0.2
1530471000,0.4
1530472000,0.2
1530473000,0.2
1530475000,0.2
1530475000,0.2
1530476000,0.2
1530494000,0.2
1530496000,0.2
1530496000,0.2
1530496000,0.2
1530498000,0.2
1530508000,0.2
1530512000,0.2
1530513000,0.2
1530514000,0.2
1530514000,0.2
1530514000,0.2
1530514000,0.2
1530515000,0.2
1530515000,0.4
1530515000,0.2
1530516000,0.2
1530516000,0.2
1530517000,0.2
1530517000,0.2
1530517000,0.2
1530518000,0.2
1530518000,0.4
1530518000,0.2
1530519000,0.2
1530520000,0.2
1530521000,0.2
1530523000,0.2
1530526000,0.2
1530527000,0.6
1530527000,0.2
1530533000,0.6
1530533000,0.6
1530535000,0.2
1530535000,0.6
1530536000,0.6
1530536000,0.2
1530537000,0.2
1531176000,0.2
1531177000,0.2
1531178000,0.2
1531179000,0.2
1531179000,0.2
1531179000,0.2
1531180000,0.2
1531180000,0.2
1531180000,0.2
1531181000,0.2
1531181000,0.2
1531181000,0.2
1531182000,0.2
1531182000,0.2
1531182000,0.2
1531183000,0.2
1531183000,0.2
1531184000,0.2
1531184000,0.2
1531184000,0.2
1531184000,0.2
1531185000,0.2
1531185000,0.2
1531185000,0.2
1531186000,0.4
1531186000,0.2
1531186000,0.4
1531187000,0.2
1531187000,0.2
1531188000,0.4
1531188000,0.2
1531188000,0.4
1531189000,0.2
1531189000,0.2
1531189000,0.2
1531190000,0.2
1531190000,0.2
1531190000,0.4
1531237000,0.2
1531302000,-0.5
1531303000,-0.5
1531303000,-0.5
1531304000,-0.5
1531331000,-0.5
1531345000,-0.5
1531401000,-0.5
1531644000,0.4
1531649000,0.2
1531654000,0.2
1531659000,0.2
1531659000,0.2
1531708000,0.2
1531708000,0.2
1531709000,0.2
1531710000,0.2
1531711000,0.2
1531712000,0.2
1531712000,0.2
1531712000,0.2
1531713000,0.2
1531714000,0.2
1531714000,0.2
1531715000,0.4
1531715000,0.2
1531717000,0.2
1531717000,0.4
1531718000,0.2
1531718000,0.6
1531718000,0.2
1531718000,0.4
1531719000,0.2
1531719000,0.2
1531720000,0.4
1531720000,0.2
1531725000,0.2
1531726000,0.2
1531727000,0.2
1531727000,0.2
1531728000,0.2
1531729000,0.2
1531730000,0.2
1531731000,0.2
1531733000,0.4
1531733000,0.2
1531734000,0.2
1531735000,0.2
1531737000,0.2
1531833000,0.2
1543562000,10
1543563000,10
1543563000,10
1543563000,10
1543564000,10
1543564000,10
1543564000,10
1543564000,10
1543565000,10
1543565000,10
1543565000,10
1543566000,10
1543566000,10
1543566000,10
1543567000,10
1543567000,10
1543567000,10
1543568000,10
1543568000,10
1543568000,10
1543568000,10
1543569000,10
1543569000,10
1543569000,10
1543570000,10
1543570000,10
1543570000,10
1543570000,10
1543571000,10
1543571000,10
1543571000,10
1543572000,10
1543572000,10
1543572000,10
1543573000,10
1543573000,10
1543573000,10
1543574000,10
1543574000,10
